Volume,Time,Timestamp,Type
82.9,0.2,71.4,Student
85,0.2,71.6,Student
82.7,0.2,71.8,Student
83.5,0.2,72,Student
87.5,0.2,72.2,Student
75,0.2,72.4,Student
67.6,0.2,72.6,Ambient
70,0.2,72.8,Ambient
72.4,0.2,73,Student
78.5,0.2,73.2,Teacher 
87.8,0.2,73.4,Teacher 
87.6,0.2,73.6,Teacher 
82.2,0.2,73.8,Teacher 
85.9,0.2,74,Teacher 
80.8,0.2,74.2,Student
77.5,0.2,74.4,Student
79,0.2,74.6,Student
86,0.2,74.8,Student
85.7,0.2,75,Student
81.2,0.2,75.2,Teacher 
83.4,0.2,75.4,Teacher 
81.5,0.2,75.6,Teacher 
70.2,0.2,75.8,Ambient
66.7,0.2,76,Ambient
80.9,0.2,76.2,Teacher 
77.2,0.2,76.4,Teacher 
68.7,0.2,76.6,Ambient
72.5,0.2,76.8,Teacher 
72.8,0.2,77,Teacher 
78.6,0.2,77.2,Teacher 
77.7,0.2,77.4,Teacher 
76.9,0.2,77.6,Teacher 
77.6,0.2,77.8,Teacher 
78.4,0.2,78,Teacher 
79.2,0.2,78.2,Teacher 
75.2,0.2,78.4,Teacher 
80.4,0.2,78.6,Teacher 
80.2,0.2,78.8,Teacher 
72.7,0.2,79,Ambient
85.2,0.2,79.2,Ambient
72.4,0.2,79.4,Ambient
71.3,0.2,79.6,Ambient
77.7,0.2,79.8,Ambient
82.5,0.2,80,Teacher 
84.1,0.2,80.2,Teacher 
84,0.2,80.4,Teacher 
82.5,0.2,80.6,Teacher 
75,0.2,80.8,Teacher 
80.2,0.2,81,Teacher 
83,0.2,81.2,Student
89.1,0.2,81.4,Student
77.8,0.2,81.6,Student
71,0.2,81.8,Ambient
71.2,0.2,82,Ambient
78.3,0.2,82.2,Student
76,0.2,82.4,Student
88.9,0.2,82.6,Student
81.4,0.2,82.8,Student
78.8,0.2,83,Student
73,0.2,83.2,Student
68.9,0.2,83.4,Ambient
79,0.2,83.6,Student
71.8,0.2,83.8,Ambient
81.6,0.2,84,Student
81.1,0.2,84.2,Student
80.1,0.2,84.4,Student
83.9,0.2,84.6,Student
79.7,0.2,84.8,Student
83.1,0.2,85,Student
81.9,0.2,85.2,Student
66.4,0.2,85.4,Ambient
72.3,0.2,85.6,Student
81.6,0.2,85.8,Student
74,0.2,86,Student
71,0.2,86.2,Ambient
83.4,0.2,86.4,Student
73.5,0.2,86.6,Student
76.7,0.2,86.8,Student
79.1,0.2,87,Student
77.3,0.2,87.2,Student
79.3,0.2,87.4,Student
72.8,0.2,87.6,Student
69.2,0.2,87.8,Ambient
73.5,0.2,88,Student
74.7,0.2,88.2,Student
77.5,0.2,88.4,Student
75.9,0.2,88.6,Student
78.1,0.2,88.8,Student
77,0.2,89,Student
82.9,0.2,89.2,Teacher 
